Specia,Simbol,LUCRU,FOC
Alun,An,DT Ce Ca Ju Me,DT
Anin alb,An,DM Te Sa Pl An ,DM +Rasinoase
Anin negru,An,DM Te Sa Pl An ,DM +Rasinoase
Brad,Br,Mo Br Du La,DM +Rasinoase
Carpen,Ca,DT Ce Ca Ju Me,DT
Cer (L),Ce,DT Ce Ca Ju Me,DT
Cer (S),Ce,DT Ce Ca Ju Me,DT
Cires,Ci,Ci Pa Fr Sb Nu,DT
Corcodus,Cd,DT Ce Ca Ju Me,DT
Dud,Dd,DT Ce Ca Ju Me,DT
Duglas,Du,Mo Br Du La,DM +Rasinoase
Fag,FA,FA,DT
Frasin,Fr,Ci Pa Fr Sb Nu,DT
Garnita (L),Ga,ST Go Ga,DT
Garnita (S),Ga,ST Go Ga,DT
Gorun (L),Go,ST Go Ga,DT
Gorun (S),Go,ST Go Ga,DT
Jugastru,Ju,DT Ce Ca Ju Me,DT
Larice,La,Mo Br Du La,DM +Rasinoase
Mesteacan,Me,DT Ce Ca Ju Me,DT
Mojdrean,Nj,DT Ce Ca Ju Me,DT
Molid,Mo,Mo Br Du La,DM +Rasinoase
Nuc,Nu,Ci Pa Fr Sb Nu,DT
Paltin de camp,Pa,Ci Pa Fr Sb Nu,DT
Paltin de munte,Pa,Ci Pa Fr Sb Nu,DT
Par paduret,Pr,DT Ce Ca Ju Me,DT
Pin negru,Pi,Alte Rasinoase,DM +Rasinoase
Pin silvestru,Pi,Alte Rasinoase,DM +Rasinoase
Plop alb,Pl,DM Te Sa Pl An ,DM +Rasinoase
Plop euramerican R-16,Pl,DM Te Sa Pl An ,DM +Rasinoase
Plop euramerican nesl.,Pl,DM Te Sa Pl An ,DM +Rasinoase
Plop negru,Pl,DM Te Sa Pl An ,DM +Rasinoase
Plop tremurator,Pl,DM Te Sa Pl An ,DM +Rasinoase
Salcam (L),Sc,SC,DT
Salcam (P),Sc,SC,DT
Salcie alba (L),Sa,DM Te Sa Pl An ,DM +Rasinoase
Salcie alba (R),Sa,DM Te Sa Pl An ,DM +Rasinoase
Salcie capreasca,Sa,DM Te Sa Pl An ,DM +Rasinoase
Stejar brumariu,St,ST Go Ga,DT
Stejar pedunculat (L),St,ST Go Ga,DT
Stejar pedunculat (S),St,ST Go Ga,DT
Stejar pufos,St,ST Go Ga,DT
Stejar rosu,St,ST Go Ga,DT
Tei argintiu,Te,DM Te Sa Pl An ,DM +Rasinoase
Tei pucios,Te,DM Te Sa Pl An ,DM +Rasinoase
Ulm de camp,Ul,DT Ce Ca Ju Me,DT
Ulm de munte,Ul,DT Ce Ca Ju Me,DT
